id;Nom;Prenom;Ville;Age;Salaire;Ville_rattach;Cursus_rattach
167;Landry;Norman;Notre-Dame-de-la-Salette;49;€2 761;Nantes;SCI
168;Pierce;Channing;Cantley;41;€3 317;Nantes;LET
169;Duke;Jonas;Whyalla;44;€2 651;Saint-Nazaire;MED
170;Lucas;Aileen;Chiavari;48;€3 794;Nantes;SCI
171;Maldonado;Demetrius;Newark;56;€3 819;Nantes;HIS
172;Downs;Callum;Kolhapur;57;€3 022;Nantes;HIS
173;Conley;Gisela;Schore;37;€3 887;Nantes;DSP
174;Mccullough;Hadassah;Jundiaí;65;€2 905;Nantes;DSP
175;Williamson;Olga;Burntisland;43;€3 972;Saint-Nazaire;LNG
176;Ayers;Abdul;Marcq-en-Baroeul;56;€3 165;Saint-Nazaire;MED
177;Watson;Gavin;La Rochelle;43;€2 863;Saint-Nazaire;LNG
178;Wilkinson;Gannon;Basirhat;35;€3 042;Rennes;SCI
179;Townsend;Brennan;Nobressart;50;€3 653;Rennes;DSP
180;Foster;Alfonso;Jamoigne;58;€3 617;Nantes;LNG
181;Gordon;Nathan;Kamalia;62;€3 903;Rennes;MED
182;Frost;Dana;La Cisterna;51;€3 474;Nantes;HIS
183;Peters;Palmer;Tulita;39;€3 186;Rennes;SCI
184;Bray;Chadwick;Wilhelmshaven;50;€4 109;Nantes;SCI
185;Lindsay;Ursa;Jolanda di Savoia;39;€2 981;Rennes;DSP
186;Thornton;Allegra;Kampenhout;61;€4 236;Saint-Nazaire;DSP
187;Parrish;Kenyon;Potsdam;43;€2 632;Saint-Nazaire;MED
188;Coleman;Shafira;Jupille-sur-Meuse;50;€4 496;Rennes;SCI
189;Church;Sylvester;Almería;38;€3 177;Nantes;LNG
190;Conrad;Jameson;Oviedo;62;€3 787;Rennes;LNG
191;Pope;Eagan;Blumenau;62;€3 408;Rennes;HIS
192;Madden;Yvette;Eastbourne;52;€4 455;Nantes;LNG
193;Blanchard;Juliet;Castle Douglas;46;€4 191;Nantes;HIS
194;Baird;Brenda;Castel Ritaldi;37;€2 881;Rennes;LNG
195;Barnes;Tara;Rio Saliceto;56;€2 586;Nantes;SCI
196;Holman;Lesley;Fiumara;47;€3 917;Saint-Nazaire;LNG
197;Kramer;Nola;Cote-Saint-Luc;38;€4 299;Nantes;DSP
198;Mcfarland;Eugenia;Remscheid;60;€4 326;Saint-Nazaire;SCI
199;Anderson;Ella;Lansing;44;€3 946;Rennes;DSP
